"trial_id","publication_doi","negative_primary","p0_assumed","cer_error_pp","counterfactual_mde_scale","counterfactual_mde_value","mde_to_assumed_effect_ratio"
"BICARICU2_NCT04010630","10.1001/jama.2025.20231","yes",0.8,18.338658,"absolute_difference",0.1144882,1.144882
"NCT03477344","10.1186/s13054-024-04842-1","yes",0.25,12.951807228916,"RRR",0.709793092,1.419586184
"CLASSIC-NCT03668236","10.1056/NEJMoa2202707","yes",0.45,2.87451984635083,"RRR",0.164191850926597,1.05551904167098
"REST-NCT02654327","10.1001/jama.2021.13374","yes",0.41,1.487804878049,"RRR",0.236764124238,1.029409235818
"PROFLO_ISRCTN54917435","10.1186/s13054-021-03602-9","yes",0.88,54.6666666667,"RRR",0.5510468879,2.7552344396
"NONSEDA_NCT01967680","10.1056/NEJMoa1906759","yes",0.4,2.962962962963,"RRR",0.266508097857,1.066032391427
"PMID30772908","10.1001/jama.2019.0071","yes",0.45,1.6037735849,"absolute_difference",0.1509548364,1.0063655761
"PMID29089038","10.1186/s13054-017-1862-3","yes",0.5,34.375,"RRR",0.917162425074081,1.83432485014816
